iter,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
1,501.52181782515254,-465204.7955023772,465706.31732020236,0.0,503.6082407514332,-472379.29295006057,472882.901190812,0.0,503.6082407514332,-472379.29295006057,472882.901190812,0.0,228599.6021452736,-244283.2990455384,472882.901190812,0.0,228599.6021452736,-Inf,Inf,0.0
2,230.79869770957157,-15081.529574983484,15312.328272693056,0.002450261,232.11316413246095,-15933.086248445155,16165.199412577616,0.001776584,232.11316413246095,-15933.086248445155,16165.199412577616,0.004522371,511.1734780021943,-12197.860226395487,12709.033704397682,0.002447832,511.1734780021943,-472371.7277128098,472882.901190812,0.00259143
3,173.93010678433347,-6387.414402381188,6561.344509165521,0.00430985,177.0560136268614,-6420.225670400507,6597.281684027368,0.006395715,173.37148409942165,-6423.910199927946,6597.281684027368,0.006526949,290.7193016872043,-5390.940843160227,5681.660144847431,0.004392677,290.71930168708786,-12418.3144027106,12709.033704397687,0.00461692
4,153.13636448327452,-3390.7625418710277,3543.898906354302,0.006153841,151.4165575490333,-3322.6781961594497,3474.094753708483,0.008449628,151.30993142176885,-3849.626370964679,4000.936302386448,0.008418073,243.29185501788743,-2948.6691196509682,3191.9609746688557,0.006454321,243.29185501800384,-5438.368289829426,5681.66014484743,0.006659781
5,148.77403322956525,-1547.2529098961195,1696.0269431256847,0.011643252,145.4033815843286,-2121.987003482217,2267.3903850665456,0.010226685,126.50890761381015,-1789.6588172621314,1916.1677248759415,0.010498046,227.50228488864377,-1329.5271538029974,1557.0294386916412,0.011211483,183.36245358746964,-3008.5985210813988,3191.9609746688684,0.011369684
6,144.472321606474,-619.5965293231932,764.0688509296672,0.013604158,144.33282656187657,-740.2243273882251,884.5571539501017,0.011964822,104.10563315625768,-4167.210710433904,4271.3163435901615,0.011941469,223.59290296549443,-495.8666374176979,719.4595403831923,0.013281967,150.54809790372383,-5462.575960197699,5613.124058101423,0.013424309
7,143.05069415620528,-796.5095817385846,939.5602758947899,0.015378133,107.14750818524044,-292.0667600210546,399.21426820629506,0.013929347,87.96731436974369,-1588.998269422306,1676.9655837920498,0.016810921,222.7529224017635,-367.0062594244781,589.7591818262416,0.015449644,137.20623959670775,-2926.0655618143537,3063.2718014110615,0.015672116
8,104.36647514475044,-491.5421911226483,595.9086662673988,0.017078762,91.9552091419464,-3419.1043618091207,3511.059570951067,0.018963951,75.38809070421848,-3075.8613505422613,3151.24944124648,0.017941946,149.31720944633707,-3806.525423159221,3955.8426326055583,0.017165524,120.88803922850639,-1493.8663414541309,1614.7543806826372,0.017368381
9,89.67288302513771,-3055.1710394662164,3144.843922491354,0.018823426,87.97265187161975,-1586.3125874656478,1674.2852393372675,0.02075835,69.87204167956952,-1363.7744946324185,1433.646536311988,0.019826648,126.08172449003905,-1993.0054014665507,2119.0871259565897,0.019254708,108.34174928592984,-2716.957735135344,2825.299484421274,0.019404944
10,85.66527081595268,-1688.2388820877627,1773.9041529037154,0.023548049,86.2537147597177,-845.9919118576796,932.2456266173973,0.022624703,61.80076537455898,-2436.38823780473,2498.189003179289,0.021256641,119.17947516741697,-1052.2122911921128,1171.3917663595298,0.021374169,86.86573489138391,-1273.7488301263193,1360.6145650177032,0.021082643
