iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,3414.0422549322248,-6.940867977560304e6,6.944282019815236e6,0.0,3529.1426904261116,-6.936023849325951e6,6.939552992016377e6,0.0,3529.1426904261116,-6.936023849325951e6,6.939552992016377e6,0.0,3.4111855426702397e6,-3.5283674493461354e6,6.939552992016375e6,0.0,3.4111855426702397e6,-Inf,Inf,0.0
2,2211.1087948024274,-78731.77773592557,80942.88653072799,0.142021018,2208.2847077935935,-79454.28640924045,81662.57111703404,0.032336843,2208.2847077935935,-79454.28640924045,81662.57111703404,0.032335473,5325.888567243517,-112003.1506655132,117329.03923275671,0.045495765,5325.8885672420265,-6.934227103449133e6,6.939552992016375e6,0.04447484
3,1895.8402624100447,-39141.128351214655,41036.9686136247,0.300971857,1896.9404171973467,-40743.15592042997,42640.096337627314,0.053429552,1896.2575102835895,-40743.83882734372,42640.096337627314,0.05022905,2882.6343095228076,-54881.35799809204,57763.99230761485,0.095579713,2882.6343095198276,-114446.4049232369,117329.03923275672,0.091724922
4,1806.3948145642878,-20715.908042941093,22522.30285750538,0.45610152,1807.4759159445764,-19920.59506008023,21728.070976024806,0.094332382,1492.838740348816,-20671.37620728192,22164.214947630735,0.068609523,2255.9237365320328,-25705.57447540632,27961.498211938353,0.146095429,2255.9235333427787,-55508.07834591116,57764.00187925394,0.136239938
5,1779.3190766602756,-10290.00162757827,12069.320704238544,0.55443535,1780.465743111074,-10280.976253990037,12061.44199710111,0.112638465,1194.3910484090447,-39025.97835315949,40220.36940156853,0.084737844,2100.338716064394,-13224.375835918592,15324.714551982986,0.192969758,1834.8994645357134,-26126.596734046918,27961.49619858263,0.179929438
6,1772.004721133411,-4538.331342410693,6310.336063544104,0.689284826,1772.7775897979736,-4158.465804061269,5931.243393859243,0.131774148,1110.7701358109714,-19513.800058787554,20624.570194598524,0.102502728,2052.053223796189,-6122.542768771684,8174.595992567873,0.241465691,1529.289495918155,-37843.47481034683,39372.76430626499,0.226036696
7,1266.0076934576036,-3795.844029845607,5061.851723303211,0.817057924,1266.7615361779929,-3897.8179974928835,5164.579533670876,0.147849924,972.5729661509395,-10575.904310526594,11548.477276677533,0.116887183,2038.8153125286103,-2639.2830518588758,4678.098364387486,0.289288124,1312.3356731578708,-19454.04106732415,20766.37674048202,0.267983058
8,1078.5106206849218,-29587.653698409777,30666.1643190947,0.909666286,1079.0186112210156,-30301.018392827722,31380.037004048736,0.16629031,871.6822593659163,-22475.273144911636,23346.955404277553,0.15432104,1441.8331902712584,-32636.608263698516,34078.441453969775,0.333761647,1070.1821053490044,-34276.8090753093,35346.991180658304,0.313673797
9,1021.64862280339,-15779.51796386372,16801.16658666711,1.038524611,1021.9283795267344,-15781.120180876414,16803.04856040315,0.192312364,760.1602349057794,-11018.211244232994,11778.371479138774,0.175439133,1224.111231353879,-16067.728945186005,17291.840176539885,0.381599305,992.4665693879128,-18490.839316722093,19483.305886110007,0.359466793
10,1005.1760099083185,-8069.739022882146,9074.915032790464,1.144160934,1005.4756396323443,-8061.649706765578,9067.125346397923,0.237494428,670.0610883116723,-21547.299540882592,22217.360629194263,0.19040098,1161.871750061214,-8326.758359015794,9488.630109077008,0.428669188,942.6813374832273,-8769.08116625726,9711.762503740487,0.401850897
