iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,732228.0838652025,761032.8966827033,542641.4762557391,218391.42042696412,0.0,761032.8966827033,544789.9612207781,216242.93546192517,0.0,761032.8966827033,544789.9612207781,216242.93546192517,0.0,873398.0259487834,657155.0904868583,216242.9354619251,0.0,873398.0259487834,-Inf,Inf,0.0
2,732228.0838652025,742689.366033915,662477.4122071286,80211.95382678632,0.001201594,742905.1182604003,662793.8902288924,80111.22803150777,0.001089687,742905.1182604003,662793.8902288924,80111.22803150777,0.010932786,761905.8506724152,672500.2827278723,89405.56794454297,0.000628575,761905.8506724152,545662.9152104901,216242.9354619251,0.000657388
3,732228.0838652025,736609.4960287681,697175.3186798341,39434.17734893396,0.002143724,736565.4948966576,694001.539285741,42563.95561091666,0.002598001,736565.4948966576,694001.539285741,42563.95561091666,0.011572993,741821.316658701,697817.1056122785,44004.2110464226,0.001761169,741821.3166587009,652415.748714158,89405.56794454297,0.001765393
4,732228.0838652025,734890.4259384482,714615.6719747686,20274.753963679592,0.003023703,734785.0243680974,713543.9669054942,21241.05746260316,0.004109796,734478.5101737541,713237.4527111509,21241.05746260316,0.01216183,734828.5834203592,718013.3367560172,16815.246664342005,0.002851471,741821.3166587009,697817.1056122783,44004.2110464226,0.001833739
5,732228.0838652025,734161.6742219583,722360.173238299,11801.500983659338,0.003928511,734058.2065187357,721916.1868367625,12142.019681973281,0.005593525,733046.5184041592,717196.1223538063,15850.396050352916,0.01268921,733357.4685071363,721575.7253177514,11781.743189384928,0.003916786,734828.5834203592,690824.3723739366,44004.2110464226,0.002906911
6,732228.0838652025,733825.6135424982,725851.4780454887,7974.135497009491,0.004807127,733733.1001641835,726062.933241055,7670.16692312849,0.007064542,732598.924669904,723267.1034153402,9331.821254563925,0.013810361,732745.6226389683,726299.1393649487,6446.483274019556,0.013776858,733357.468395649,716542.220959004,16815.247436644975,0.003955745
7,732228.0838652025,733616.9389290249,727525.8054998303,6091.133429194524,0.005683569,733553.3784757253,727868.0148519224,5685.363623802856,0.008563312,732414.207735708,726781.7838216876,5632.4239140204445,0.015024813,732503.5033039442,727725.0848543966,4778.418449547607,0.014613922,732745.62261461,720963.8803484205,11781.74226618954,0.005074207
8,732228.0838652025,733505.1546817858,729676.423508746,3828.731173039894,0.006576672,733404.471782967,728791.7971520366,4612.674630930451,0.010083357,732295.2604695834,728088.5796013848,4206.680868198622,0.016319697,732378.4316925275,729529.1122490867,2849.3194434407633,0.015447199,732503.5032816447,726057.02003527,6446.4832463746425,0.00617085
9,732228.0838652025,733400.7797844493,729534.1918602183,3866.5879242310184,0.009111033,733266.5049394411,729067.7678542353,4198.737085205874,0.011570108,732251.6765025195,729696.099777087,2555.576725432482,0.017513112,732303.6728306515,729971.0493954194,2332.62343523209,0.016272259,732378.431704138,727600.0139369228,4778.417767215287,0.007239284
10,732228.0838652025,733262.7886506486,729058.5909774433,4204.197673205315,0.052667293,733181.6638435905,730030.4149304985,3151.248913092015,0.013027419,732238.1305881568,731021.7193225897,1216.4112655671124,0.018912049,732261.5397991989,730382.9030450714,1878.6367541274521,0.017103899,732303.6728706077,729454.3539979133,2849.3188726943918,0.008309344
11,732228.0838652025,733195.8636213404,730261.4980292094,2934.365592130969,0.053487931,733127.9266560124,730464.4929319514,2663.4337240609893,0.014594185,732232.8827859247,731458.1710341423,774.7117517824154,0.020402437,732242.689712051,731836.9258636975,405.76384835341014,0.017944329,732261.5397052651,729928.9124263418,2332.62727892329,0.009383123
