iter,opt,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
1,1.998569499733222e6,90743.29404971725,1.6275596208531803e6,461753.1729297589,0.0,90876.33073329763,1.6210660390325978e6,468379.7914339218,0.0,90876.33073329763,1.6210660390325978e6,468379.7914339218,0.0,278750.6587512258,1.8089403670505257e6,468379.791433922,0.0,278750.6587512258,-Inf,Inf,0.0
2,1.998569499733222e6,40152.08452861686,1.8292616675309713e6,209459.9167308674,0.003129464,39618.84216684452,1.8300242067579317e6,208164.13514213482,0.019386839,39618.84216684452,1.8300242067579317e6,208164.13514213482,0.002418056,90703.20949985436,1.8860520762166432e6,203220.6330164331,0.002480769,90703.20949985436,1.6208929177991543e6,468379.791433922,0.002506265
3,1.998569499733222e6,23135.43539685686,1.9128313886990654e6,108873.54643101335,0.02257443,22819.164736413164,1.9169065151730643e6,104482.14929657089,0.021385412,22819.164736413164,1.9169065151730643e6,104482.14929657089,0.007710106,40878.60164305079,1.9331722267652107e6,106275.874611062,0.007926559,40878.60164305079,1.8362274683598396e6,203220.6330164331,0.00451966
4,1.998569499733222e6,14748.774229137925,1.9415233012043298e6,71794.97275802997,0.024499241,14353.012478744844,1.9389896522819062e6,73932.85993006066,0.023449223,16881.42627902492,1.9415180660821863e6,73932.85993006066,0.009847998,23686.45168794389,1.9489205506489775e6,73335.40077218832,0.009864762,23686.45157519565,1.9159800761821992e6,106275.87512621842,0.006351443
5,1.998569499733222e6,10426.941648787586,1.9607605229947104e6,48235.91838729908,0.026343395,10070.42972105532,1.9599577254686176e6,48682.20398565955,0.025462873,8630.908732244512,1.933016965063106e6,74183.44340236051,0.010652759,15363.664609578671,1.9638049936857037e6,50128.170657096896,0.011732197,17172.264615224907,1.9424063618292292e6,73335.40251921769,0.006792135
6,1.998569499733222e6,7973.917268338846,1.971091297450477e6,35452.11955108371,0.029330808,7806.704255552264,1.972229109164336e6,34147.09482443816,0.043613378,5235.207476162119,1.9586689045269345e6,45135.80268244952,0.012638139,11276.872922343435,1.9719638454663772e6,37882.52718918817,0.013622572,9210.523293727776,1.9346701593437716e6,73109.86368317809,0.008493105
7,1.998569499733222e6,6880.0580163055565,1.9801420790375483e6,25307.478711979144,0.050056137,6378.4293521752115,1.978892092555356e6,26055.836530041095,0.045339629,3120.1831216670107,1.968860896092103e6,32828.78676278595,0.014495496,8426.67185908393,1.9785737692390871e6,28422.402353218757,0.015556744,5727.69079099386,1.9576154237151248e6,46681.76680909097,0.010335219
8,1.998569499733222e6,5737.691855086712,1.9819671242439023e6,22340.067344406387,0.051760869,5387.670666279504,1.981359315789422e6,22597.854610079405,0.047015524,2032.3263899504673,1.978006988504292e6,22594.83761888044,0.016286996,6868.959315924672,1.9816583595011858e6,23780.099547960795,0.017532167,3593.7098819811363,1.9688920384438303e6,33271.171171372756,0.01214966
9,1.998569499733222e6,5021.791867329506,1.9844408475259282e6,19150.444074623258,0.053394178,4736.063567269361,1.9851662992985796e6,18139.26400191171,0.048750009,1351.1520164248068,1.981149720151169e6,18770.931598477706,0.020972957,5854.3771133006085,1.9842456949747913e6,20178.1818717313,0.01950065,2527.927751691779,1.976712434773637e6,24384.992711276747,0.014066048
10,1.998569499733222e6,4473.326877699001,1.9857244894673927e6,17318.337143528363,0.055073371,4182.402121656807,1.9869701631213615e6,15781.73873351721,0.050335477,830.0295422261115,1.9842930585654886e6,15106.47070995954,0.022864973,5058.946513592964,1.9872816256287303e6,16346.820618084632,0.021587452,1622.8789028704632,1.9789746808426143e6,21217.697793478146,0.015821898
11,1.998569499733222e6,4052.710895161843,1.9883273926926139e6,14294.81793577,0.056813257,3861.8920043127146,1.9891482100441572e6,13283.181693377497,0.066378555,587.5015730673913,1.987939034401037e6,11217.966905252339,0.024490584,4556.044943394372,1.9890136925670924e6,14111.852109523956,0.023464146,1152.2169434756506,1.9833272257370409e6,16394.49093965674,0.017641783
