iter,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
1,740.4230761222542,-1.395816208317912e6,1.3965566313940343e6,0.0,786.1818874016404,-1.3961564922506348e6,1.3969426741380366e6,0.0,786.1818874016404,-1.3961564922506348e6,1.3969426741380366e6,0.0,688806.2979748723,-708136.3761631645,1.3969426741380368e6,0.0,688806.2979748723,-Inf,Inf,0.0
2,480.63209209777415,-18144.695243925573,18625.327336023347,0.00451266,482.2927822224796,-17846.756903414935,18329.049685637416,0.004740425,482.2927822224796,-17846.756903414935,18329.049685637416,0.009959041,1056.7904102116825,-24119.61817222375,25176.40858243543,0.004255643,1056.7904102116825,-1.395885883727825e6,1.3969426741380368e6,0.004485265
3,406.05508220605554,-8668.976050031804,9075.03113223786,0.024171867,408.286221555993,-9355.094983342626,9763.381204898618,0.014564189,380.76021340265874,-9382.620991495967,9763.381204898626,0.015080207,513.2795289944858,-11251.574299147003,11764.85382814149,0.008609754,513.2795289941132,-24663.129053441324,25176.408582435437,0.008489302
4,382.350732761249,-4431.388193902353,4813.738926663602,0.030529759,384.35647249370817,-4694.013222744675,5078.3696952383825,0.021119097,252.5008342497051,-12440.922049292574,12693.42288354228,0.020277173,384.0166679263115,-5615.366617701435,5999.383285627746,0.012757857,384.0166679263115,-11380.837160215173,11764.853828141484,0.012558542
5,379.49361786767844,-1533.9047623532535,1913.398380220932,0.048188853,381.51751066297294,-1542.9273632518261,1924.444873914799,0.027248999,224.97823255062104,-5349.28802792679,5574.266260477411,0.031094343,344.11989640928806,-2805.6919050116217,3149.81180142091,0.016854744,323.98132861554626,-5675.401957012189,5999.383285627735,0.016008373
6,239.82691017724574,-879.4409191419843,1119.26782931923,0.055012068,241.33862048126758,-944.5461860914243,1185.8848065726918,0.037965618,182.11425245888532,-3279.2212606607973,3461.3355131196827,0.035271943,333.48671462759376,-1241.3359599039613,1574.822674531555,0.021266176,265.172440411523,-7399.261399379195,7664.433839790718,0.020162211
7,194.94005287624896,-7026.85099851599,7221.791051392239,0.059809762,195.6027650807053,-6797.950531672921,6993.5532967536265,0.044215925,154.6971882324666,-5357.114501882195,5511.811690114662,0.040815141,330.84072838984434,-584.2735507221099,915.1142791119543,0.025516986,219.80846694260836,-4078.7804461811543,4298.588913123763,0.023703693
8,181.34090240150692,-3635.461528511294,3816.802430912801,0.078315452,181.89549370594324,-3988.7895393259996,4170.685033031943,0.053271633,134.2370278902352,-2742.37180360486,2876.6088314950953,0.044628464,329.7939286332578,-549.3411712863532,879.135099919611,0.029763197,168.74558273516595,-6791.718651016362,6960.464233751528,0.028125397
9,176.8140280224383,-2040.264787728267,2217.0788157507054,0.083964954,177.20664565376939,-1924.8242912800722,2102.0309369338415,0.060102937,114.43240633122623,-4662.810801234866,4777.243207566092,0.054460803,220.83233684785665,-5841.579020446858,6062.411357294714,0.033630173,162.2943936802447,-3433.0165062492256,3595.3108999294705,0.031531594
10,175.64454217851164,-1009.3543302321528,1184.9988724106645,0.089491002,175.91628025583924,-1076.3139315180636,1252.2302117739027,0.06506404,104.03187746778131,-3123.7616025215866,3227.793479989368,0.059511437,183.81644876748325,-2946.5281919891863,3130.3446407566694,0.037985645,152.5397867653519,-4175.441807552864,4327.981594318216,0.035705992
11,175.2839866131544,-424.60910913591044,599.8930957490649,0.10052012,175.56396539360287,-526.8336915785901,702.397656972193,0.074800788,92.39635924994946,-1474.9065074819048,1567.3028667318542,0.063727873,173.5413424924016,-1485.9485575422505,1659.489900034652,0.042287455,140.77798337712883,-3003.0088170304452,3143.786800407574,0.038972441
12,131.28683389872313,-520.0477683131909,651.334602211914,0.106223842,131.48591708168388,-452.3030456215755,583.7889627032594,0.080978273,85.40128257460893,-2812.9430723490227,2898.3443549236317,0.072975935,170.66622062139214,-763.1180307458117,933.7842513672038,0.046631647,119.88170404434204,-4334.639625557853,4454.521329602195,0.043431475
13,115.975638384372,-3965.922109492301,4081.897747876673,0.115854359,116.14237407892944,-3978.1806856723624,4094.323059751292,0.090187741,76.34590189643204,-1708.001283538265,1784.347185434697,0.077362444,169.75856275223197,-371.04272766800744,540.8012904202394,0.05095216,111.87418407052756,-2279.0488785029434,2390.923062573471,0.046864092
14,109.80634867437185,-2323.076156030602,2432.8825047049736,0.122604516,109.91397810466589,-2403.091177950889,2513.005156055555,0.095266861,67.88735737316311,-2826.5336218087773,2894.4209791819403,0.081702947,169.41899707615377,-315.48654319532545,484.90554027147925,0.055116234,103.10349065363408,-3479.3320029986926,3582.435493652327,0.051062205
15,108.23934426531196,-1121.6549572489487,1229.8943015142606,0.128686121,108.33788535520435,-1137.8028403734509,1246.1407257286553,0.101869488,62.24496013149619,-1464.7527583994088,1526.9977185309049,0.086238032,131.23379505947233,-3599.6388002246435,3730.872595284116,0.058651728,100.10450344793499,-2486.417280695479,2586.5217841434137,0.052055331
16,107.8657772578299,-506.7242913920047,614.5900686498346,0.139054758,107.93954474255443,-499.4885519299071,607.4280966724615,0.111479959,57.011523408815265,-2367.3462972850425,2424.357820693858,0.094504474,118.10426433496178,-1853.620614847742,1971.7248791827037,0.063119744,93.30419919118286,-2956.153584790772,3049.457783981955,0.056248629
17,107.71579521521926,-246.03750836607622,353.7533035812955,0.14595121,107.79639205932618,-275.49773777298697,383.29412983231316,0.117439751,55.15491504259408,-1283.508046514969,1338.662961557563,0.099440409,113.72926190309227,-974.6496778382341,1088.3789397413263,0.067454684,87.88431690782309,-1544.4865748381526,1632.3708917459758,0.059876117
18,87.29441721737385,-329.9273934477986,417.2218106651724,0.156786316,87.34240219332278,-298.46685255790965,385.80925475123246,0.123069325,51.15082774348557,-1977.1506891037814,2028.3015168472668,0.102932188,112.3739529889077,-497.3093957498779,609.6833487387856,0.071705566,80.6172564841807,-2592.7012651155205,2673.3185215997014,0.063954455
19,79.32687272280455,-2846.7524339645056,2926.0793066873102,0.162933241,79.37081604003907,-2846.5115198431054,2925.8823358831446,0.133312821,48.94272943735123,-1117.8809263855128,1166.823655822864,0.112696575,111.95662696622313,-239.6983412149634,351.6549681811865,0.075977891,77.55023622997106,-1403.815369938061,1481.365606168032,0.067145358
20,77.07235984727741,-1450.9010078944366,1527.973367741714,0.168286266,77.10083559006453,-1469.9283814583857,1547.0292170484502,0.138778498,45.7049871314317,-1760.9552973301666,1806.6602844615982,0.116698059,111.81393560469151,-215.02753340432224,326.84146900901374,0.080230909,72.40782781243324,-2154.049699078707,2226.4575268911403,0.071439261
21,76.31045279726386,-735.6143225363743,811.9247753336382,0.179350957,76.34034607745707,-794.9064130326317,871.2467591100888,0.148371883,43.40711999163032,-1007.2948780689791,1050.7019980606094,0.121650253,93.2545725915581,-2597.975364617597,2691.2299372091547,0.083754817,69.85609160363674,-1185.5339939212115,1255.3900855248482,0.074866459
22,76.08389732129872,-388.1321136188947,464.2160109401934,0.185474086,76.1083415567875,-389.18852149641003,465.2968630531975,0.154558169,41.22485631145537,-1580.3678168308961,1621.5926731423515,0.125815453,85.50761575177313,-1446.1715537588634,1531.6791695106365,0.08786742,65.29818281121553,-1896.7374783174575,1962.0356611286732,0.079059179
23,65.58309543989598,-207.55893725420947,273.14203269410547,0.196404125,65.62191166356206,-203.41123774951802,269.0331494130801,0.160672515,39.45227185338736,-914.5128682871178,953.9651401405052,0.135037537,82.80068601220847,-609.6756588861074,692.4763448983158,0.092657232,63.552938550338155,-1011.9106616179448,1075.463600168283,0.082071505
24,61.151550005748874,-2123.49740436159,2184.648954367339,0.201914049,61.198595594987275,-2115.696060657663,2176.8946562526503,0.170677552,37.28820390664041,-1423.0410185822934,1460.3292224889337,0.139907602,82.22928694337607,-306.3320288960601,388.56131583943613,0.096938619,61.51321031078697,-1329.3538142292075,1390.8670245399944,0.085378567
25,59.77004319950939,-1118.819191152126,1178.5892343516355,0.208019261,59.80810377672315,-1112.38412973396,1172.192233510683,0.176191165,35.64479346387088,-835.9433140026675,871.5881074665384,0.14409476,82.04630873911083,-153.98191566462071,236.02822440373154,0.101345661,57.74576206840575,-1871.3084644847424,1929.0542265531483,0.089818016
