iter,CBCFW_pgap,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_pgap,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_pgap,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_pgap,FFW_dual,FFW_dgap,FFW_time,FAFW_pgap,FAFW_dual,FAFW_dgap,FAFW_time
1,176544.89558689296,1.2904110301244704e7,1.3954679460047144e6,0.0,175299.89973694645,1.2885146522029255e7,1.4131867293702173e6,0.0,175299.89973694645,1.2885146522029255e7,1.4131867293702173e6,0.0,778526.2320299502,1.3488372854322258e7,1.4131867293702178e6,0.0,778526.2320299502,-Inf,Inf,0.0
2,76439.25562074967,1.3662511224554555e7,536961.38272872,0.066579362,73546.2596170064,1.3657080627776314e7,539498.9835032196,0.081017761,73546.2596170064,1.3657080627776314e7,539498.9835032196,0.007320962,192141.26223343052,1.378063968986125e7,534534.9240347072,0.048223825,192141.26223343052,1.2901987884525739e7,1.4131867293702178e6,0.677104561
3,42909.9184397459,1.3894017399901124e7,271925.8702011489,0.088585431,41825.656758895144,1.3901165126075424e7,263693.8823459975,0.0876302,41825.656758895144,1.3901165126075424e7,263693.8823459975,0.013995147,89767.02741781063,1.394800630745107e7,264794.0716292672,0.061572685,89767.02741781622,1.3678265455045635e7,534534.9240347072,0.683490177
4,30614.96200109087,1.4007529123027468e7,146119.19063614937,0.131851217,27733.864211475477,1.3998328245648684e7,152438.97022531764,0.095266927,28420.76741116494,1.3999015148848373e7,152438.97022531764,0.020375578,58585.0720341187,1.4004258395860434e7,177360.02783621103,0.067494414,58585.07257408835,1.3916824355606377e7,264794.06863023713,0.690038792
5,23982.14851422794,1.4045143405831873e7,101872.09434488125,0.139920663,21794.62098013051,1.4049583317363009e7,95244.65527964744,0.104027305,17711.622971832752,1.4004638396285519e7,136106.57834883884,0.024141199,36054.15646966733,1.402875528230358e7,130332.22582861409,0.073731938,42465.22207231261,1.398813853003494e7,177360.04369989783,0.692124538
6,18674.500497804955,1.406218638789144e7,79521.46426889044,0.152534551,16769.972184991464,1.4061016752539717e7,78786.57130780071,0.11713033,12272.55930393003,1.4042165163488073e7,93140.74747838208,0.045706612,28091.42843147181,1.4064298959202625e7,86825.82089137286,0.080157352,22997.82530084066,1.3980054445007976e7,165976.73195539042,0.698187858
7,16086.12562264502,1.4085765004242176e7,53354.47304299509,0.172655563,14223.142630362883,1.407981618785773e7,57440.306435158476,0.137132853,8623.935744209215,1.406586268005418e7,65794.6073525555,0.052274441,24258.449649034068,1.4082865989743214e7,64425.811568345875,0.08612956,15309.785214329138,1.4008816070033312e7,129527.0668435432,0.705060415
8,14050.253919040784,1.4088604823171204e7,48478.7824103625,0.199229321,12265.527832599357,1.408941286116369e7,45886.01833143411,0.14465634,6734.027450332418,1.4089229196596889e7,40538.1825159688,0.058354837,20626.20501267165,1.4079583895443996e7,64075.66123120114,0.092596142,11826.661533089355,1.4051293930478252e7,83566.08271736279,0.711485672
9,12491.167742403224,1.4095790028462553e7,39734.4909423755,0.209121541,11076.171618444845,1.4097425214871323e7,36684.308409648365,0.150954193,5549.140004014596,1.4096876707166843e7,31705.784499696805,0.064608645,18010.52451223135,1.4086612517539771e7,54431.35863498598,0.098838927,9171.430953891948,1.4076792468493916e7,55412.31412250176,0.718086459
10,11371.132694495842,1.4105159202613207e7,29245.28174381517,0.216462109,10118.330836355686,1.4104426176318122e7,28725.50618075952,0.157571587,4456.998918442056,1.4094572037350558e7,32918.31323041103,0.083881804,16349.868743123487,1.4089359640851758e7,50023.57955389097,0.105122994,8080.734945723787,1.408678669372464e7,44327.39288360998,0.724611142
11,10473.074930390343,1.4103143340997696e7,30363.085595219978,0.224538987,9334.053383188322,1.410295031053947e7,29417.094506244524,0.181026066,3732.8375595528632,1.4106262745262558e7,20503.44395952183,0.090226286,14143.095535809174,1.4104079294944063e7,33097.15225427225,0.111445142,7035.251258291304,1.4090163422515018e7,39905.1804057993,0.73179841
12,9669.970372414216,1.4106884541397018e7,25818.780637921533,0.249129135,8696.35036022216,1.4107057536196386e7,24672.16582636186,0.187318363,3175.7766434196383,1.4108897483185843e7,17311.645120102097,0.096307055,13533.128152469173,1.4102678656311646e7,33887.82350334898,0.118070077,5818.494071854278,1.4091637634062141e7,37214.211672239006,0.738966919
13,8959.882714390755,1.4106697099485863e7,25296.134891052963,0.255903334,8232.818911610171,1.4110019278024245e7,21246.892549891258,0.197117901,2701.7448866385967,1.4109271119001111e7,16463.977548053255,0.102138044,12303.77414620854,1.4092426535232961e7,42910.59057577327,0.124580219,5455.611468434334,1.4103249196848555e7,25239.766282405704,0.745397307
14,8389.930955326185,1.4104151191265441e7,27272.091352410847,0.262130916,7662.103893572465,1.4108225986689374e7,22469.46886672394,0.209928674,2304.448023170233,1.4110467987790529e7,14869.811895168037,0.10873637,11177.016278611496,1.4098220804272339e7,35989.563668798655,0.131005737,4835.408107189462,1.4103310880133398e7,24557.87963631749,0.753083024
15,7881.959505440667,1.4108419221979113e7,22496.089188852697,0.274582449,7265.498952737078,1.410868963212204e7,21609.21849322412,0.220573312,1998.7876715455204,1.4111423628821999e7,13608.510512072593,0.119159812,10356.68110529147,1.4099074786642026e7,34315.24612579122,0.138354713,4311.145358214155,1.4098713798351187e7,28630.698669552803,0.759495253
16,7499.514750363305,1.4110394213997232e7,20138.65241565788,0.286220702,6943.542303472757,1.410983423727507e7,20142.656690929784,0.228179289,1753.7567326352,1.411334818646342e7,11438.921931740944,0.125678213,9296.649464868009,1.4108011631843979e7,24318.369283415377,0.144112869,3933.368194030598,1.4102360902945656e7,24605.816910900176,0.76603317
17,6984.5734840948135,1.4108713342368918e7,21304.582777703064,0.29404965,6604.2606998141855,1.4111734636292238e7,17902.976070103236,0.234815801,1507.451481230557,1.4113635857074559e7,10904.946069197962,0.131727171,8905.143477112055,1.4106038004666837e7,25900.49047280103,0.150047368,3378.6954133156687,1.4101834517798249e7,24577.529277592897,0.772525538
18,6640.546450339258,1.4108945673642062e7,20728.224470803398,0.30051415,6357.46003341116,1.411133275061714e7,18058.061078796396,0.241250577,1310.3592579420656,1.411351325861854e7,10830.452301928774,0.137652062,8217.222711078823,1.410507725067435e7,26173.323699254543,0.156368294,3190.553834103048,1.4109685126545122e7,16538.77895150706,0.778844322
19,6327.405775764957,1.4109293309773318e7,20067.447664972977,0.307090932,6116.575208822265,1.4111861199058248e7,17288.727813101257,0.255946396,1129.7651220187545,1.4114727903172133e7,9435.213612410473,0.149468833,7780.447864243761,1.4109362249933489e7,21451.549593281,0.162411693,2847.048314653337,1.4107881240267081e7,17999.159710098058,0.786793893
20,6098.102857207879,1.4112388139980782e7,16743.314538951498,0.319919391,5881.063057044521,1.4113591108629819e7,15323.30608975084,0.262269903,974.7038552407175,1.4115286645672351e7,8721.409845414804,0.155171773,7519.315179005265,1.4109579198402641e7,20973.46843888983,0.16902826,2617.561505848542,1.4106403274378564e7,19247.63878981024,0.793271361
21,5845.678070029244,1.4113078269846743e7,15800.759885811945,0.326540928,5687.197258980945,1.4113772780797768e7,14947.768123739166,0.271495737,829.734881317243,1.4115773864965595e7,8089.221578247845,0.16169066,7091.064525490627,1.4108652412131842e7,21472.004056174308,0.175023936,2476.4808359369636,1.4110055370929616e7,15454.461568847299,0.799907959
22,5655.14176995866,1.4113063493137851e7,15625.000294633443,0.332735776,5480.924263799563,1.41139520163882e7,14562.259538126178,0.284513138,729.6819225046784,1.41166977753954e7,7065.258189628832,0.167702521,6829.298091433942,1.410993296593724e7,19929.6838167198,0.181186468,2241.9589434508234,1.410930582375509e7,15969.486850887537,0.806770811
23,5498.557882770896,1.411375335352755e7,14778.556017747149,0.342956155,5323.716315174475,1.4112899148155024e7,15457.919822676107,0.295655652,651.2956341747195,1.4117421872756546e7,6262.774540154729,0.181195339,6546.732517605647,1.4109578632719819e7,20001.451460313052,0.187753747,2111.473558070138,1.4110600147517439e7,14544.677703157067,0.8136044
24,5331.3295517954975,1.4115348413552877e7,13016.267661443911,0.354342562,5167.4538201242685,1.4114174182925226e7,14026.622557423194,0.302981708,591.7588678076863,1.4118323030207343e7,5302.0803229908925,0.188186597,6158.092861538753,1.4112600291704569e7,16591.152819495648,0.194057657,1997.7757950406522,1.411195624129264e7,13074.886164925992,0.820306197
25,5176.469540061429,1.4112696826223064e7,15512.994979522424,0.362443086,5023.304015463218,1.4113621596806508e7,14435.058871482383,0.309912467,529.6646352261305,1.411833197188831e7,5231.044409442227,0.194699121,5983.6288728863,1.4113137695504839e7,15879.285030573606,0.201069147,1854.553886430338,1.4112285305004e7,12602.600544955581,0.826707241
26,5066.729827532545,1.4116060873162685e7,12039.208327374305,0.368767876,4831.757737232372,1.4114161401708584e7,13703.707691174117,0.31609844,477.072264412418,1.4118503577852434e7,5006.846074504196,0.200226218,5711.077514849603,1.4110609751329439e7,18134.67784793675,0.206921643,1670.65867241472,1.4113519173779706e7,11184.836555235088,0.832775186
27,4964.569506520405,1.4116649642885882e7,11348.278283164022,0.375271804,4717.888286547735,1.4114751581722394e7,12999.658226680243,0.330699698,432.1276885960251,1.4118994519470712e7,4470.959880410228,0.211928875,5500.987345250323,1.4115224136849117e7,13310.202158659697,0.212892369,1409.1475620791316,1.4108750019260122e7,15692.47996448353,0.839237589
28,4798.536471525207,1.4115088065252293e7,12743.822881757747,0.38782007,4617.595293721184,1.4115371684729295e7,12279.262226952938,0.337063953,394.23965389840305,1.4119233582777327e7,4194.008539097616,0.218002898,5332.9164147321135,1.4114104854230288e7,14261.413846969604,0.219355471,1322.6850492786616,1.4112965858528417e7,11390.178183387965,0.84640674
29,4675.708197593689,1.4114471118330417e7,13237.941529702744,0.394194975,4483.018135100603,1.4116268613621874e7,11247.756175752147,0.346993546,350.8279183730483,1.411918869008157e7,4195.489499328425,0.224436564,5214.715930143371,1.4116119855990458e7,12128.211602210999,0.225334577,1241.9747152626514,1.4115015811440965e7,9259.514936823398,0.852872919
30,4558.424588134512,1.4114902241569482e7,12689.534681178397,0.400230064,4373.150123767555,1.4115247107308745e7,12159.394477549009,0.360681168,316.5259112417698,1.411949519599579e7,3854.681577975978,0.230355961,5127.808121450245,1.4116489788905324e7,11671.370878651738,0.231807849,1159.4782869815826,1.4113303906015834e7,10888.92393367365,0.859592275
31,4473.2755065485835,1.4116912610484052e7,10594.01668502146,0.408008122,4283.290371082723,1.4115830607868958e7,11486.034164650831,0.372061571,283.17171915620565,1.4119417401301147e7,3899.1220805344637,0.238335161,4980.533629363403,1.4113469885874309e7,14543.999417580664,0.238243672,1078.480603678152,1.4115200578602474e7,8911.253663729876,0.866076717
32,4334.466984912753,1.4115774410333859e7,11593.408313580556,0.419627866,4216.196768449619,1.4117283002631865e7,9966.54579911055,0.379563417,255.88658782094717,1.4119789684936382e7,3499.5533139642794,0.249216212,4838.698005011305,1.4116338305296637e7,11533.744370900095,0.244690327,983.8691210951656,1.4115225555220544e7,8791.665563076735,0.871954283
33,4245.187581913546,1.4115726358363116e7,11552.18088132306,0.426112737,4115.71795531176,1.4117423028215341e7,9726.041402497329,0.386384791,232.5568181667477,1.4120077277218105e7,3188.6312625877326,0.255993992,4698.221679881215,1.4113865358652012e7,13866.2146903947,0.251206041,863.4688452165574,1.411327351184431e7,10623.308663431555,0.878845104
34,4175.08094172366,1.4116977925168138e7,10230.507436111104,0.432161648,4038.317891748622,1.411548034320474e7,11591.326349534327,0.392479573,205.8733830600977,1.4120203973812867e7,3035.251232719049,0.261619427,4580.728520326316,1.4117434098144872e7,10179.98203798011,0.257528779,814.98217423819,1.411528658013222e7,8561.753704544157,0.884890958
35,4080.9824250414968,1.4118058442546021e7,9055.891541545745,0.438364669,3967.7001684233546,1.4117117566942891e7,9883.484888058156,0.406851714,185.5081513300538,1.4120269999266803e7,2948.8605470535113,0.26730956,4523.89009141922,1.4117806802508878e7,9750.439245067537,0.264094329,785.2262687962502,1.4117211175661914e7,6607.402269408107,0.891737502
36,3997.822160117328,1.4115294728163194e7,11736.44565944851,0.449286903,3887.7987018283457,1.411706508878885e7,9856.061575503205,0.413053049,167.8710347265005,1.412026300471337e7,2938.2179838828743,0.278502717,4417.523381231353,1.4114315271442119e7,13135.603601638228,0.270732634,717.560232533142,1.4115953980497748e7,7796.931397311389,0.898136218
37,3934.3597131539136,1.4117541451893115e7,9426.259482565103,0.4554967,3793.2485877964646,1.4117385153539393e7,9441.446710929275,0.421998682,148.78380651958287,1.4120288110505372e7,2894.024963672273,0.285001815,4298.8055563326925,1.4118487048032343e7,8845.109186515212,0.277231508,689.737331263721,1.4116811039002089e7,6912.049991700798,0.904553093
38,3891.81831904687,1.4118971574769491e7,7953.595212080632,0.462815599,3731.483732553199,1.4117400436711412e7,9364.398683667649,0.434863093,135.1216627229005,1.4120691724910567e7,2476.748414681526,0.291453078,4254.50182842277,1.4117181090913393e7,10106.762577556074,0.28395306,653.8524494748563,1.4118265668293387e7,5421.535818614066,0.91052545
39,3809.061519758776,1.4118488720170151e7,8353.693012134172,0.469054768,3677.6556830052286,1.4117619651596548e7,9091.355748982634,0.446378445,120.61136088334024,1.4121007926832698e7,2146.0361907100305,0.297170449,4151.988877033815,1.4116575950319543e7,10609.390220016241,0.29034147,607.7820476423949,1.4115984113082167e7,7657.020628001541,0.916368746
40,3742.6884053349495,1.4117498923249194e7,9277.116818666575,0.479420142,3607.1083070542663,1.411883639515883e7,7804.064810751355,0.453675877,110.4953985568136,1.4120881639045727e7,2262.208015356562,0.310124005,4077.3811939656734,1.4118275936039997e7,8834.796816494316,0.296719886,571.4254406914115,1.411633205776477e7,7272.7193384468555,0.952384132
41,3683.262460017577,1.4117122115745591e7,9594.498376953183,0.485472219,3552.9928356762975,1.4117925666282948e7,8660.678215254797,0.460258626,98.58134304732084,1.4120956155516954e7,2175.7774886183906,0.316304622,3986.7083384823054,1.4115471876410376e7,11548.183590631932,0.302965084,519.8496568854898,1.4116787946603693e7,6765.254715718329,0.958896088
42,3643.0782879125327,1.4118678186883021e7,7998.2430674169445,0.492085811,3501.1390717420727,1.411777018528267e7,8764.305451597087,0.466755999,88.46807474642992,1.4120986919787059e7,2134.899950213963,0.322337153,3897.4570730458945,1.411926245467968e7,7668.354055892676,0.309597082,497.4603031501174,1.4117714844209673e7,5815.967756003141,0.965718058
