iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,8.343660127390501e6,8.343723792324628e6,8.322961627948251e6,20762.164376377594,0.0,8.363317441290255e6,8.342582517039363e6,20734.924250891432,0.0,8.363317441290255e6,-Inf,Inf,0.0
2,8.343660127390501e6,8.343666959273213e6,8.343165142125896e6,501.81714731664397,0.186689602,8.343723792324628e6,8.343224148670503e6,499.6436541248113,0.248546185,8.343723792324628e6,8.322988868073736e6,20734.924250891432,0.270837962
3,8.343660127390501e6,8.343660754777867e6,8.343531657060316e6,129.09771755128168,0.37091394,8.343667555318483e6,8.34352791383483e6,139.64148365333676,0.452835026,8.343723792324628e6,8.343224148670503e6,499.6436541248113,0.509741528
4,8.343660127390501e6,8.343660358900797e6,8.343650489492743e6,9.869408053113148,0.55562254,8.34366044444954e6,8.343652546440104e6,7.8980094362050295,0.700278642,8.343667555318484e6,8.343167911664359e6,499.6436541248113,0.721785827
5,8.343660127390501e6,8.343660228446132e6,8.343643041054519e6,17.187391612678766,0.736437459,8.34366022556478e6,8.343649411182381e6,10.814382398501039,0.910098559,8.343660444449539e6,8.343520802965886e6,139.64148365333676,0.929956539
6,8.343660127390501e6,8.343660218803568e6,8.343655427035304e6,4.791768263792619,0.9335024,8.343660173730732e6,8.343653443986089e6,6.729744642972946,1.180893612,8.343660158520651e6,8.343652260511213e6,7.898009438067675,1.137801453
7,8.343660127390501e6,8.3436601601416655e6,8.343656531530283e6,3.628611381864175,1.11458753,8.343660155050435e6,8.343657748533764e6,2.406516671180725,1.43891785,8.343660137757352e6,8.343651876176529e6,8.261580822989345,1.34156796
8,8.343660127390501e6,8.3436601445996e6,8.343654270890276e6,5.873709323583171,1.307261132,8.343660133128156e6,8.343657662695126e6,2.4704330302774906,1.672745018,8.343660132680617e6,8.343657424616097e6,2.7080645207315683,1.538223287
9,8.343660127390501e6,8.343660141971146e6,8.343657645047579e6,2.496923567261547,1.52360722,8.343660131258447e6,8.343658649770938e6,1.4814875088632107,1.866525676,8.343660128295554e6,8.343656876976235e6,3.251319319009781,1.735895897
10,8.343660127390501e6,8.343660132637177e6,8.343658709996673e6,1.422640503384173,1.757936072,8.343660130269487e6,8.343659512171325e6,0.6180981621146202,2.066225685,8.343660128015097e6,8.343659414102241e6,0.7139128558337688,1.93477732
11,8.343660127390501e6,8.343660130312002e6,8.343657865624573e6,2.26468742871657,3.050279935,8.343660128783623e6,8.343658766463794e6,1.362319828942418,2.254434598,8.34366012769235e6,8.343659281844777e6,0.8458475731313229,2.160696276
12,8.343660127390501e6,8.343660129814805e6,8.343659045249892e6,1.0845649125985801,3.248412939,8.343660128190133e6,8.343659846130439e6,0.28205969370901585,2.453832574,8.343660127629937e6,8.34365974065842e6,0.3869715165346861,2.364185241
13,8.343660127390501e6,8.343660128271993e6,8.343659553729132e6,0.5745428609661758,3.447497915,8.343660127879095e6,8.343659411893806e6,0.7159852888435125,2.64631995,8.3436601275471e6,8.343659897700496e6,0.22984660416841507,2.561780879
14,8.343660127390501e6,8.343660127891222e6,8.343659212485863e6,0.9154053586535156,3.632541919,8.343660127715025e6,8.343659740837466e6,0.38687755912542343,2.84296019,8.343660127496479e6,8.343659779003216e6,0.3484932631254196,2.762464094
15,8.343660127390501e6,8.343660127804013e6,8.343659673807564e6,0.45399644901044667,3.819897641,8.343660127652645e6,8.343659943436027e6,0.18421661853790283,3.031657274,8.343660127466368e6,8.343659930768227e6,0.1966981403529644,2.96489596
16,8.343660127390501e6,8.343660127541382e6,8.34365989134777e6,0.23619361245073378,4.014636946,8.343660127519772e6,8.343659727065847e6,0.40045392513275146,3.222429565,8.343660127438148e6,8.34365989554504e6,0.23189310729503632,3.164165349
17,8.343660127390501e6,8.343660127476884e6,8.34365975080672e6,0.37667016428895295,4.204783029,8.343660127468426e6,8.343660022200391e6,0.10526803508400917,3.410783762,8.343660127426666e6,8.343659994588922e6,0.13283774442970753,3.376058883
18,8.343660127390501e6,8.343660127461671e6,8.343659938028358e6,0.18943331274203956,4.399937794,8.343660127463807e6,8.343660029946721e6,0.09751708619296551,3.598829296,8.343660127416172e6,8.343659968765442e6,0.1586507298052311,3.591566425
19,8.343660127390501e6,8.343660127416421e6,8.343660028173199e6,0.09924322180449963,4.605221571,8.3436601274550175e6,8.343660034644145e6,0.09281087294220924,3.784298118,8.343660127403434e6,8.343660062625827e6,0.06477760709822178,3.787827924
20,8.343660127390501e6,8.343660127405262e6,8.34365997068763e6,0.1567176324315369,4.82440576,8.343660127421247e6,8.343659951375816e6,0.17604543082416058,3.970162802,8.34366012739799e6,8.343660025517287e6,0.10188070312142372,3.983821138
21,8.343660127390501e6,8.343660127402629e6,8.343660048266075e6,0.07913655391894281,5.049580685,8.343660127407249e6,8.343660046715843e6,0.08069140650331974,4.158186791,8.343660127394884e6,8.343660099802948e6,0.02759193629026413,4.186674138
22,8.343660127390501e6,8.34366012739497e6,8.343660085941335e6,0.04145363485440612,5.276106959,8.343660127405247e6,8.343660082745796e6,0.04465945065021515,4.352044536,8.343660127393173e6,8.34366007026878e6,0.05712439306080341,4.389889826
23,8.343660127390501e6,8.343660127393043e6,8.3436600621022675e6,0.06529077491723001,5.49178234,8.343660127397419e6,8.343660041897849e6,0.08549956977367401,4.55122224,8.343660127392171e6,8.343660109281654e6,0.018110517412424088,4.595282796
24,8.343660127390501e6,8.343660127392608e6,8.3436600949815465e6,0.03241106099449098,5.710473884,8.343660127395079e6,8.343660085992595e6,0.041402483358979225,4.743164583,8.343660127391699e6,8.343660097333643e6,0.030058056116104126,4.807198396
25,8.343660127390501e6,8.343660127391254e6,8.343660109636705e6,0.017754547763615847,5.93417614,8.343660127394363e6,8.343660104770949e6,0.022623414173722267,4.933901444,8.343660127391193e6,8.343660116026189e6,0.011365003883838654,5.017467932
26,8.343660127390501e6,8.3436601273908885e6,8.343660099047707e6,0.02834318159148097,6.158247205,8.343660127393893e6,8.343660105424191e6,0.02196970209479332,5.12461626,8.343660127391042e6,8.343660108479252e6,0.01891179010272026,5.224202704
27,8.343660127390501e6,8.343660127390839e6,8.343660116322421e6,0.01106841815635562,6.381437234,8.343660127391998e6,8.343660088262226e6,0.039129771292209625,5.312396688,8.343660127390836e6,8.343660105485142e6,0.021905694156885147,5.418319847
28,8.343660127390501e6,8.343660127390631e6,8.343660120637536e6,0.006753094727173448,6.60890216,8.34366012739131e6,8.343660110089773e6,0.017301537096500397,5.506804286,8.343660127390743e6,8.343660113966669e6,0.013424074277281761,5.61857607
