iter,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,16295.39583336562,-1.7698427459393993e7,1.771472285522736e7,0.0,16590.785305209458,-1.7641207767666087e7,1.7657798552971296e7,0.0,16590.785305209458,-1.7641207767666087e7,1.7657798552971296e7,0.0,8.5420964287218e6,-9.115702124249496e6,1.7657798552971296e7,0.0,8.5420964287218e6,-Inf,Inf,0.0
2,12380.057534448802,-309717.00822281255,322097.06575726136,0.806095963,12384.220615174621,-304673.64516927226,317057.8657844469,0.762704433,12384.220615174621,-304673.64516927226,317057.8657844469,0.759603087,21085.5617858544,-423493.01684422727,444578.57863008167,0.843940212,21085.5617858544,-1.763671299118544e7,1.7657798552971296e7,1.070936872
3,11269.735251784325,-155151.7609124649,166421.49616424923,1.656403401,11277.367589056492,-158091.08917918554,169368.45676824203,1.509206334,10707.479368977249,-158660.97739926478,169368.45676824203,1.505973032,13462.878723971546,-209781.9117103128,223244.79043428434,1.67771527,13462.878723975271,-431115.6999061066,444578.57863008184,2.062701043
4,10942.606258887798,-78997.72936467222,89940.33562356002,2.511935627,10951.595781162381,-79995.90931327696,90947.50509443934,2.273979934,8192.521440930665,-243759.12880984318,251951.65025077385,2.262557261,11452.81161648035,-106712.51943231229,118165.33104879264,2.516561774,11452.811616487801,-211791.9788177965,223244.7904342843,4.064753376
5,10847.483809847385,-36597.098400333365,47444.58221018075,3.459265887,10856.580423805863,-38065.351123598106,48921.93154740397,3.035320646,7488.46598277241,-126043.1978512099,133531.6638339823,3.017317546,10876.237314477563,-52047.04200687,62923.27932134756,3.35623719,8980.651357073337,-109184.73480718413,118165.38616425746,4.936466959
6,10818.914995573461,-15517.384319762874,26336.299315336335,4.443681305,10828.138973265886,-15322.78035769879,26150.919330964676,3.853067048,6268.476199619472,-66584.4828715043,72852.95907112377,3.782469483,10709.332139920443,-23095.926331561728,33805.25847148217,4.190110854,7298.551983483136,-195987.41513328333,203285.96711676646,5.774266966
7,7629.742590427399,-16460.278458841844,24090.021049269242,5.416416496,7637.0185979008675,-16946.618015662847,24583.636613563714,4.66430082,5420.0525182411075,-138847.37145778767,144267.42397602877,4.57148647,10660.970350831747,-12411.030759808073,23072.00111063982,5.02916621,6799.164460018277,-100479.95477515893,107279.1192351772,6.604398645
8,6518.419742099941,-158763.02019735065,165281.4399394506,6.387457943,6521.255411911756,-157870.9776040285,164392.23301594026,5.474163549,5163.5996118970215,-74422.16992027115,79585.76953216817,5.353581634,7678.565603900701,-156893.0319920213,164571.597595922,5.855295993,5802.72607973218,-149601.41833365656,155404.14441338874,7.452163429
9,6189.9024123847485,-83796.25335849468,89986.15577087943,7.427038606,6192.490444935858,-83426.58458915763,89619.07503409349,6.307748261,4628.489619914442,-108275.16810205858,112903.65772197302,6.130472938,6574.606427144259,-81666.29307131554,88240.8994984598,6.695183359,5439.727328080684,-77538.44783984529,82978.17516792598,8.285291656
10,6092.626881536096,-43133.651355325645,49226.27823686174,8.49748671,6094.958735596389,-43686.12635314354,49781.08508873993,7.100782796,4349.295522347093,-56517.88350478277,60867.17902712986,6.886045145,6244.7922733314335,-41374.61385442769,47619.406127759125,7.535739613,4865.201675020158,-112205.64392891468,117070.84560393484,9.134155569
11,6063.569730464369,-20567.598482858877,26631.168213323246,9.615831492,6065.807560712099,-21028.172706483376,27093.980267195475,7.950706682,3962.377689924091,-92445.58151992346,96407.95920984756,7.64521648,6148.167585302144,-20287.817599202113,26435.985184504258,8.398725199,4522.054442543536,-58313.21182077665,62835.26626332018,9.955796713
