iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,4.013431592781485e7,4.157374023774542e7,3.5771933214935645e7,5.801807022809776e6,0.0,4.1573776153677136e7,3.575791305325399e7,5.815863100423144e6,0.0,4.1573776153677136e7,3.575791305325399e7,5.815863100423144e6,0.0,4.3367569773916855e7,3.75517066734937e7,5.815863100423157e6,0.0,4.3367569773916855e7,-Inf,Inf,0.0
2,4.013431592781485e7,4.101252121898502e7,3.8190354160862096e7,2.8221670581229255e6,1.176394339,4.101181985217637e7,3.818639624939932e7,2.825423602777049e6,1.049957285,4.101181985217637e7,3.818639624939932e7,2.825423602777049e6,1.239477961,4.15891199310139e7,3.876969356632006e7,2.8194263646938354e6,1.688607411,4.158911993101389e7,3.577325683059073e7,5.815863100423157e6,1.1727762
3,4.013431592781485e7,4.074926145517212e7,3.8946563165499195e7,1.802698289672927e6,2.35042475,4.074858228697677e7,3.894437131514141e7,1.8042109718353571e6,2.103582337,4.074858228697677e7,3.894437131514141e7,1.8042109718353571e6,2.402247547,4.102639444839469e7,3.920966510980237e7,1.8167293385923207e6,3.249832072,4.102639444839469e7,3.820696808370087e7,2.8194263646938205e6,2.34519826
4,4.013431592781485e7,4.059789616971997e7,3.928888599188773e7,1.3090101778322365e6,3.521167841,4.059986920389206e7,3.928967703632707e7,1.3101921675649863e6,3.153119177,4.059986920389206e7,3.928967703632707e7,1.3101921675649863e6,3.620385306,4.0759497074802e7,3.9441824254130825e7,1.317672820671171e6,4.884306357,4.075949707480198e7,3.894276773620966e7,1.8167293385923207e6,3.512689426
5,4.013431592781485e7,4.050028727047257e7,3.946336635402013e7,1.0369209164524414e6,4.710146229,4.050180025752583e7,3.9452440381320514e7,1.0493598762053177e6,4.210895083,4.050180025752583e7,3.9452440381320514e7,1.0493598762053177e6,4.834667403,4.060918293699731e7,3.955311184006292e7,1.056071096934393e6,6.568796188,4.060918293808073e7,3.929151012356193e7,1.3176728145187944e6,4.678125336
6,4.013431592781485e7,4.042926610040927e7,3.956386300014387e7,865403.1002653958,5.878683134,4.043248523827252e7,3.9574367696382985e7,858117.5418895371,5.345836887,4.0429301944396704e7,3.957118440250717e7,858117.5418895371,5.946501008,4.0509781596627854e7,3.964539260354448e7,864388.9930833727,7.989522693,4.050978159980862e7,3.945371051685059e7,1.0560710829580277e6,5.840841147
7,4.013431592781485e7,4.037561378408435e7,3.962851205821387e7,747101.7258704854,7.049355286,4.0379809547795385e7,3.9642587458044454e7,737222.0897509269,6.564379946,4.037331893561551e7,3.9608024690032355e7,765294.2455831515,6.981059002,4.043947424285971e7,3.9694983251120865e7,744490.9917388409,9.156604442,4.043947424674897e7,3.95750852594852e7,864388.9872637689,7.009011057
8,4.013431592781485e7,4.033645566372202e7,3.969857606340267e7,637879.6003193539,8.221341344,4.033803813077924e7,3.96844011470048e7,653636.9837744376,7.751538012,4.032935934194991e7,3.965463117014226e7,674728.1718076468,8.030776047,4.0385973762085766e7,3.972625080681996e7,659722.9552658051,10.32070649,4.03859737676895e7,3.964148279053478e7,744490.9771547168,8.195013648
9,4.013431592781485e7,4.0308740573660836e7,3.977823385609568e7,530506.7175651575,9.399617771,4.030881410936502e7,3.975970026403511e7,549113.8453299087,8.995293745,4.02980739151653e7,3.973457356658208e7,563500.3485832103,9.081151777,4.034272016305983e7,3.979876100770725e7,543959.1553525776,11.478198545,4.034338716794848e7,3.968366420898495e7,659722.9589635283,9.608958506
10,4.013431592781485e7,4.0286268878626846e7,3.9807721127050385e7,478547.7515764572,10.574903203,4.0285891297795646e7,3.9810090820968375e7,475800.4768272685,10.150058625,4.027109031555194e7,3.974123971106737e7,529850.6044845628,10.12137934,4.0313864146777846e7,3.982704622475696e7,486817.92202088237,12.642330703,4.030209189512497e7,3.964668159248263e7,655410.3026423454,11.310530434
