iter,opt,CBCFW_prim,CBCFW_dual,CBCFW_dgap,CBCFW_time,FBCFW_prim,FBCFW_dual,FBCFW_dgap,FBCFW_time,FBCAFW_prim,FBCAFW_dual,FBCAFW_dgap,FBCAFW_time,FFW_prim,FFW_dual,FFW_dgap,FFW_time,FAFW_prim,FAFW_dual,FAFW_dgap,FAFW_time
1,4.0872988147000715e7,4.248221493707444e7,3.62505598928814e7,6.231655044193035e6,0.0,4.248931921697317e7,3.626104495940783e7,6.22827425756534e6,0.0,4.248931921697317e7,3.626104495940783e7,6.22827425756534e6,0.0,4.4549632542777605e7,3.832135828521227e7,6.228274257565334e6,0.0,4.4549632542777605e7,-Inf,Inf,0.0
2,4.0872988147000715e7,4.1802490715256855e7,3.8678973635640696e7,3.123517079616162e6,0.177288383,4.18013669386154e7,3.867649269672835e7,3.1248742418870516e6,0.139969661,4.18013669386154e7,3.867649269672835e7,3.1248742418870516e6,0.133904367,4.248932591770079e7,3.93660147183486e7,3.12331119935219e6,0.160120632,4.248932591770078e7,3.626105166013545e7,6.228274257565334e6,0.164703165
3,4.0872988147000715e7,4.151119230098431e7,3.9585506410129406e7,1.9256858908549044e6,0.356159082,4.1511354062852204e7,3.958587345029938e7,1.9254806125528235e6,0.280038813,4.1511354062852204e7,3.958587345029938e7,1.9254806125528235e6,0.268855269,4.18016593111308e7,3.9874299469244696e7,1.9273598418861032e6,0.319234211,4.18016593111308e7,3.867834811177861e7,3.12331119935219e6,0.329185882
4,4.0872988147000715e7,4.134312915115955e7,3.99206136780814e7,1.4225154730781438e6,0.534132891,4.1343086021259636e7,3.992465544651598e7,1.4184305747436574e6,0.419531435,4.1343086021259636e7,3.992465544651598e7,1.4184305747436574e6,0.402356353,4.15112190293143e7,4.009199652243092e7,1.4192225068833828e6,0.47981447,4.15112190293143e7,3.95838591874282e7,1.9273598418861032e6,0.493863256
5,4.0872988147000715e7,4.12411978377929e7,4.0162148755027875e7,1.079049082765026e6,0.71048078,4.124140203093048e7,4.016707727739378e7,1.0743247535367012e6,0.558667388,4.124140203093048e7,4.016707727739378e7,1.0743247535367012e6,0.536236765,4.13428530725894e7,4.026794398375273e7,1.07490908883667e6,0.646342624,4.134285307258941e7,3.992363056570603e7,1.4192225068833828e6,0.658885932
6,4.0872988147000715e7,4.117248563956353e7,4.0308091714274704e7,864393.92528883,0.887275738,4.117270254845697e7,4.030945469181078e7,863247.8566461848,0.698312926,4.117191795844097e7,4.030867010179478e7,863247.8566461848,0.670896104,4.124111173177861e7,4.037687843882917e7,864233.2929494381,0.807103933,4.1241111730211124e7,4.016620263116047e7,1.074909099050656e6,0.829122106
7,4.0872988147000715e7,4.112157654442869e7,4.038401626889605e7,737560.2755326424,1.069135541,4.112182725872297e7,4.038160271636899e7,740224.5423539812,0.882410288,4.1105396375422716e7,4.025178549754201e7,853610.8778807083,0.791622461,4.117235734584014e7,4.043196176721847e7,740395.5786216706,0.97156228,4.117230321855332e7,4.0308069922931105e7,864233.2956222147,0.958996838
8,4.0872988147000715e7,4.108321016436364e7,4.04418379294817e7,641372.2348819356,1.244812019,4.108355795967124e7,4.04448630840674e7,638694.8756038416,1.02246358,4.105900280398949e7,4.0350285561617345e7,708717.2423721515,0.925506557,4.11214645733955e7,4.048319488226128e7,638269.6911342144,1.131115588,4.110568523764187e7,4.025122097275397e7,854464.2648878992,1.121013125
9,4.0872988147000715e7,4.105396590875439e7,4.050111919002417e7,552846.7187302262,1.423480939,4.105469052245144e7,4.050124948177582e7,553441.040675615,1.162684222,4.102305096318877e7,4.040738359419658e7,615667.368992189,1.058788974,4.108324429197262e7,4.053004963420637e7,553194.6577662528,1.294960646,4.1059180472996116e7,4.034951548723371e7,709664.9857624024,1.283584009
10,4.0872988147000715e7,4.1028787596269056e7,4.052260205758521e7,506185.53868384287,1.599136444,4.102904346904805e7,4.052051821874922e7,508525.2502988335,1.302971651,4.099567229274006e7,4.045713452218128e7,538537.7705587838,1.192194,4.105439970299612e7,4.054577598958175e7,508623.713414371,1.471832854,4.102320714366988e7,4.040732630399368e7,615880.8396762013,1.446594707
